Unnamed: 0,Period Ending,close,Current Ratio,Quick Ratio,Profit Margin,After Tax ROE,size,non linear size,book to price,EY-CETOP,EY-ETOP,Leverage-MLEV,Leverage-DTOA,Leverage-BLEV,momentum,Liq-STOM,Liq-STOQ,Liq-STOH,GICS Sector,beta,weighted alpha,std_res,half_year_return,three_m_rtn,VaR
770,2014-12-31,41.689999,,,4.0,4.0,23.63455357804349,-68.42333047126704,1.0184732884233638,0.04341568825655285,0.04341568825650878,1.332363959347133,0.9235958908302824,1.32633547008547,0.05912221739097959,-1.9639855824951604,-1.8246850389427804,-1.8560513146950066,Financials,0.9868628803163508,0.018596761807180427,0.006310793588145581,0.056128569348250563,0.010554137936055114,-0.016101736665288496
771,2015-12-31,43.459999,,,9.0,10.0,23.6163734691966,-67.26983458864197,0.9774333149852824,0.09318914158281504,0.0931891415828843,1.2969088048410684,0.9227407290626588,1.3037637456070739,-0.04372345248913929,-2.0612161525332966,-1.9710503911710255,-1.7887950920705498,Financials,1.0431882878068583,0.05557086933842245,0.010793971767047557,0.018407708661014918,0.06580766373234395,-0.02588268718898165
772,2012-12-31,48.830002,270.0,243.0,11.0,24.0,23.128284734156647,-18.910470938137227,0.2308608352765173,0.056317835088354085,0.05631783508830895,1.3945018651892425,0.7211114046765742,2.70882975761879,0.06068544710497417,-1.9567826808603646,-1.711167807798338,-1.625324141427312,Consumer Discretionary,1.1247199728799209,-0.056624220822576316,0.015133234666830576,0.12369438362914667,0.034814600253344166,-0.02734452215135752
773,2013-12-31,69.239998,159.0,142.0,12.0,24.0,23.457666282698565,-55.21512067270851,0.19541473248055646,0.04766031333507549,0.047660313335101456,1.221857173237503,0.6800134821329841,2.135314468982411,0.06506820465295374,-2.361083686359069,-2.2637290484174972,-2.222455090037433,Consumer Discretionary,1.04900364517824,0.0364197498789057,0.007999914928563629,-0.02079715542452783,-0.007510066652514975,-0.014087349431723515
774,2014-12-31,65.910004,165.0,146.0,14.0,29.0,23.38170040691416,-48.18905545881354,0.20381819576615906,0.059171594042081985,0.05917159404206096,1.2635244009299496,0.6946624283946732,2.2929385423090065,0.010568235548629441,-1.9725077075294324,-1.7875494312761955,-1.7890288178054787,Consumer Discretionary,1.185324304378113,-0.09271217719658127,0.012781276721289904,-0.14990144743429246,-0.0737369853596125,-0.02008024699377417
775,2015-12-31,45.389999,145.0,123.0,13.0,41.0,22.94278202781056,8.176616438835481,0.19989987147870986,0.08173606701335244,0.08173606701335462,1.5265079403325206,0.8158719597020048,3.633858323358632,-0.09537526535550546,-1.4704950208205056,-1.042434218611549,-1.2021462430077388,Consumer Discretionary,1.0043771263667456,-0.024103739038975357,0.016414979622978748,0.19519720632732346,0.12844243508355238,-0.025809538329009233
776,2013-09-27,20.91,149.0,123.0,47.0,60.0,22.450415345175987,102.9417027650088,0.3451802143012341,-0.20851267336202767,-0.20851267336208468,1.754204989486101,0.7842969513820993,3.1849600824105075,-0.015566508340262797,-1.073583503261692,-1.2920830816315927,-1.3527904862027804,Health Care,0.7681706725080177,-0.09574937264361634,0.01658101195030041,0.02821616451458632,0.06934485891917744,-0.02813979130729144
777,2014-09-26,24.360001,253.0,199.0,1.0,1.0,22.672570260119485,56.09796397449827,0.29371564043884724,0.0024630540860815235,0.002463054086084371,1.591303828342521,0.7548338027499495,3.013184682501212,-0.01092679238766399,-1.8779726782372506,-2.0455967469122927,-1.8632161082278031,Health Care,0.9746287317220178,0.09258120307440693,0.012819882265347159,0.3616583184869327,0.10550077563625712,-0.018090754239575815
778,2015-09-25,40.0,134.0,104.0,5.0,6.0,23.13917961524746,-20.35324930228853,0.1856428571428572,0.01175,0.01175,1.2875892857142857,0.7279424272162249,2.5491535205848397,0.035421979597745075,-1.6190500326297985,-1.3901723469869498,-1.6604749739879272,Health Care,0.9396689155325912,0.11981653639515613,0.012006035756736793,-0.1375,-0.02299994999999999,-0.02451952135364513
780,2013-12-31,91.370003,149.0,119.0,10.0,22.0,24.99785869873019,-18.85029549011961,0.24310071041764755,0.054613109731429035,0.05461310973142778,1.0946543729060756,0.6155606910971718,1.3893627984198775,0.05832277703995947,-2.757602311442239,-2.710741151542419,-2.724707683721938,Industrials,1.2345092557265696,-0.021348640124488418,0.006439833883181671,0.03184848313948295,0.02747065686317211,-0.015622496529848762
781,2014-12-31,99.919998,150.0,120.0,11.0,24.0,25.085564121548,-6.279656785640327,0.22511002883099787,0.05404323566940024,0.05404323566940023,1.0770807744414237,0.6115156982244615,1.34241377357422,0.03513506203100632,-2.789173906856433,-2.5573600972533455,-2.58921916560342,Industrials,1.1987533954808998,-0.0015673620051497193,0.006207103326064394,0.025920777140127717,0.035928783745572214,-0.01858633237387461
782,2015-12-31,103.57,109.0,85.0,12.0,26.0,25.11551370612617,-1.7220642490119644,0.2262134621205517,0.05899391715747805,0.05899391715751193,1.0687190050110782,0.6292683915970476,1.303779467264672,0.01389602998364802,-2.4136530541205605,-2.4037083047509187,-2.3929745893293566,Industrials,1.089258475368778,0.01141364221409139,0.007414745962781706,0.12484310128415572,0.08670467316790588,-0.020513524641270847
784,2013-09-30,68.949997,278.0,259.0,22.0,17.0,22.72091898224241,46.790415894565754,0.6028060917353427,0.09992748803165286,0.09992748803196756,1.0108522614775453,0.2906863988422985,1.0180029061191205,0.05555194929713162,-1.6263289265191136,-1.5704117107923987,-1.4809807167192344,Energy,1.4308138909311023,0.0005482886747650289,0.012747309362878805,0.5688180232988262,0.2187092480946737,-0.025943046366323025
785,2014-09-30,97.870003,252.0,231.0,19.0,14.0,23.08162586070652,-12.545338384343266,0.4625651140848462,0.06682333503147027,0.06682333503165752,1.0037359094382532,0.2722841161387044,1.008076504960052,-0.07344492446705947,-1.6004001108756034,-1.6124691393593917,-1.6066440711544976,Energy,1.4996084747919154,-0.0335168506667355,0.01296204693940327,-0.3030551046371175,-0.31582714879450857,-0.02848814404680575
786,2015-09-30,47.259998,413.0,376.0,13.0,9.0,22.35146909575879,125.9493591558257,0.9609660789001224,0.08252222101236653,0.08252222101220949,1.0966576601453175,0.3150020665313977,1.1005838418937195,-0.20566250139716435,-0.46881580998475675,-0.583064468109062,-0.8002113313716729,Energy,1.1858810788400524,-0.008961499171480345,0.02250302947491808,0.19826498934680456,0.11637749117128615,-0.04190792988786818
791,2013-10-31,24.369998,111.0,97.0,5.0,19.0,24.577626021453792,-63.144820625242566,0.5777525254499636,0.10832992271891036,0.10832992271904594,1.3518762676545892,0.7419565464249215,1.6090432359089075,0.052517984551044776,-0.979874440457898,-0.9880418518778776,-0.9538245444501161,Information Technology,0.6460210488602034,0.1378167014949302,0.02473348379375316,0.3336069614476447,0.15059500556794306,-0.026003999525659568
792,2014-10-31,35.879997,115.0,100.0,9.0,19.0,24.937154206015162,-26.875074629273513,0.3953181368631993,0.0741360151172811,0.07413601511710066,1.2371967976188265,0.7409937406739918,1.6000149638995922,0.023902415407944588,-0.8709004360673321,-1.2062455084217298,-1.3134491980783698,Information Technology,1.16694029231581,0.02039843254068451,0.013273780274195394,-0.07580822841035165,0.05267558926674076,-0.018851678974615454
795,2013-04-30,27.74,122.0,122.0,15.0,34.0,22.747576667871627,41.794828223721204,0.1668954041049679,0.057317952415284784,0.05731795241533761,1.1196633180341755,0.7215494628539645,1.7169958853924705,0.11084935140623164,-1.401550186122707,-1.147753090639205,-1.2414250583733744,Financials,1.0178796290541805,0.1374711393611578,0.014449414099625872,0.02162941600576789,0.12581110310021634,-0.016305421163603118
